date,btc price
2024-06-06,71185
2024-06-05,70600
2024-06-04,68808
2024-06-03,67740
2024-06-02,67704
2024-06-01,67475
2024-05-31,68372
2024-05-30,67577
2024-05-29,68317
2024-05-28,69367
2024-05-27,68509
2024-05-26,69268
2024-05-25,68540
2024-05-24,67906
2024-05-23,69181
2024-05-22,70190
2024-05-21,71430
2024-05-20,66253
2024-05-19,66913
2024-05-18,67053
2024-05-17,65261
2024-05-16,66221
2024-05-15,61569
2024-05-14,62879
2024-05-13,61507
2024-05-12,60777
2024-05-11,60888
2024-05-10,63149
2024-05-09,61216
2024-05-08,62363
2024-05-07,63172
2024-05-06,64010
2024-05-05,63820
2024-05-04,62839
2024-05-03,59135
2024-05-02,58298
2024-05-01,60749
2024-04-30,63798
2024-04-29,63030
2024-04-28,63517
2024-04-27,63802
2024-04-26,64486
2024-04-25,64280
2024-04-24,66407
2024-04-23,66842
2024-04-22,64936
2024-04-21,64894
2024-04-20,63989
2024-04-19,63462
2024-04-18,61329
2024-04-17,63721
2024-04-16,63431
2024-04-15,65753
2024-04-14,64405
2024-04-13,67252
2024-04-12,70107
2024-04-11,70528
2024-04-10,69159
2024-04-09,71624
2024-04-08,69402
2024-04-07,69001
2024-04-06,67979
2024-04-05,68542
2024-04-04,66124
2024-04-03,65440
2024-04-02,69786
2024-04-01,71247
2024-03-31,69702
2024-03-30,69919
2024-03-29,70710
2024-03-28,69436
2024-03-27,70082
2024-03-26,69939
2024-03-25,67311
2024-03-24,64286
2024-03-23,63509
2024-03-22,65536
2024-03-21,67819
2024-03-20,62133
2024-03-19,67709
2024-03-18,68425
2024-03-17,65292
2024-03-16,69498
2024-03-15,71420
2024-03-14,73098
2024-03-13,71467
2024-03-12,72131
2024-03-11,69076
2024-03-10,68508
2024-03-09,68315
2024-03-08,66945
2024-03-07,66146
2024-03-06,64292
2024-03-05,68187
2024-03-04,63053
2024-03-03,62068
2024-03-02,62427
2024-03-01,61298
2024-02-29,62559
2024-02-28,57004
2024-02-27,54478
2024-02-26,51752
2024-02-25,51553
2024-02-24,50841
2024-02-23,51320
2024-02-22,51843
2024-02-21,52287
2024-02-20,51764
2024-02-19,52138
2024-02-18,51685
2024-02-17,52166
2024-02-16,51958
2024-02-15,51790
2024-02-14,49732
2024-02-13,50050
2024-02-12,48190
2024-02-11,47769
2024-02-10,47143
2024-02-09,45338
2024-02-08,44247
2024-02-07,43088
2024-02-06,42648
2024-02-05,42599
2024-02-04,42977
2024-02-03,43171
2024-02-02,43069
2024-02-01,42583
2024-01-31,42892
2024-01-30,43268
2024-01-29,42027
2024-01-28,42120
2024-01-27,41863
2024-01-26,39938
2024-01-25,40124
2024-01-24,39833
2024-01-23,39505
2024-01-22,41542
2024-01-21,41626
2024-01-20,41601
2024-01-19,41261
2024-01-18,42714
2024-01-17,43148
2024-01-16,42587
2024-01-15,41801
2024-01-14,42848
2024-01-13,42894
2024-01-12,46314
2024-01-11,46632
2024-01-10,46106
2024-01-09,46936
2024-01-08,43884
2024-01-07,43956
2024-01-06,44114
2024-01-05,44196
2024-01-04,42822
2024-01-03,44995
2024-01-02,44169
2024-01-01,42208
2023-12-31,42221
2023-12-30,42075
2023-12-29,42601
2023-12-28,43418
2023-12-27,42516
2023-12-26,43638
2023-12-25,43035
2023-12-24,43752
2023-12-23,44004
2023-12-22,43850
2023-12-21,43634
2023-12-20,42250
2023-12-19,42684
2023-12-18,41411
2023-12-17,42247
2023-12-16,41992
2023-12-15,43010
2023-12-14,42932
2023-12-13,41451
2023-12-12,41201
2023-12-11,43758
2023-12-10,43745
